,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
393,2022,274,1,56.0,11.2,5.0,0,0,4.35
394,2022,18,1,56.0,11.2,5.0,0,0,2.9
395,2022,17,1,44.0,11.0,4.0,0,0,1.54
396,2022,17,1,30.0,10.0,3.0,0,0,2.3
397,2022,6,1,27.0,7.2,3.8,0,0,3.1
398,2022,5,1,44.0,12.2,3.6,0,0,8.15
399,2022,16,1,48.0,8.0,6.0,0,0,0.77
400,2022,17,1,52.0,14.0,4.0,0,0,1.15
401,2022,273,1,57.0,14.25,4.0,0,0,1.48
402,2022,17,1,54.5,4.3,12.7,1,3,3.02
403,2022,16,1,90.0,14.0,7.4,0,0,0.987
404,2022,16,1,48.0,15.0,3.0,0,0,2.14
405,2022,16,1,48.0,13.0,4.5,0,0,0.876
406,2022,4,1,54.0,11.0,4.5,0,0,1.95
407,2022,4,1,53.0,10.0,5.0,0,0,4.5
408,2022,277,1,140.0,18.0,8.0,0,0,3.0
409,2022,5,1,34.0,6.8,5.0,0,0,3.85
410,2022,17,1,52.0,13.0,4.0,0,0,2.24
411,2022,17,1,57.0,16.0,4.1,1,3,1.89
412,2022,17,1,72.4,17.0,4.2,1,3,2.32
413,2022,268,1,52.0,3.5,15.0,0,0,2.95
414,2022,17,1,85.0,17.0,5.0,1,3,2.6
415,2022,268,1,50.0,12.0,4.0,0,0,5.75
416,2022,16,1,77.0,16.0,4.3,0,0,0.91
417,2022,268,1,50.0,12.0,4.0,0,0,6.0
418,2022,4,1,28.0,6.0,5.0,0,0,3.2
419,2022,16,1,100.0,24.0,4.1,0,0,3.5
420,2022,16,1,107.0,26.0,4.0,0,0,2.84
421,2022,16,1,77.0,17.0,4.5,0,0,1.35
422,2022,271,1,1332.0,37.0,29.0,0,0,3.5
423,2022,276,1,220.0,17.0,13.0,1,3,5.28
424,2022,17,1,64.0,15.0,4.28,0,0,1.67
425,2022,17,1,41.0,10.0,4.0,0,0,1.97
426,2022,17,1,69.0,17.0,4.0,0,0,3.16
427,2022,16,1,46.0,7.77,5.9,0,0,1.15
428,2022,273,1,43.0,8.6,5.0,0,0,1.07
429,2022,2,1,132.0,22.0,6.0,0,0,0.9
430,2022,16,1,523.0,33.0,13.0,0,0,6.8
431,2022,16,1,150.0,18.0,7.5,0,0,2.1
432,2022,276,1,61.0,12.0,5.0,0,0,1.23
433,2022,274,1,105.0,21.0,5.0,0,0,1.6
434,2022,18,1,58.0,11.6,5.0,0,0,3.12
435,2022,6,1,150.0,22.0,7.0,0,0,44.5
436,2022,17,1,43.0,10.0,4.52,0,0,1.6
437,2022,6,1,150.0,22.0,7.0,0,0,44.5
438,2022,4,1,80.0,16.0,5.0,0,0,6.4
439,2022,16,1,100.0,20.0,5.0,0,0,1.7
440,2022,4,1,75.0,15.0,5.0,0,0,9.0
441,2022,4,1,40.0,10.0,4.0,0,0,4.75
442,2022,4,1,46.0,11.0,4.5,0,0,2.5
443,2022,4,1,50.0,12.3,3.99,1,0,2.4
444,2022,17,1,86.0,17.0,5.0,0,0,1.55
445,2022,282,1,132.0,22.0,6.0,1,0,0.9
446,2022,17,1,62.0,9.0,7.0,0,0,2.55
447,2022,17,1,38.0,6.0,6.3,0,0,2.13
448,2022,16,1,208.0,12.0,16.2,0,0,2.19
449,2022,5,1,250.0,25.0,10.0,0,0,0.2
450,2022,276,1,1420.0,284.0,5.0,0,0,31.24
451,2022,17,1,63.0,16.0,4.0,0,0,4.0
452,2022,4,1,95.0,17.0,5.6,0,0,7.95
453,2022,268,1,50.0,12.0,4.0,0,0,5.75
454,2022,274,1,50.0,10.0,5.0,1,0,5.0
455,2022,16,1,63.0,13.3,4.7,0,0,1.15
456,2022,3,1,54.0,12.0,4.0,0,0,12.3
457,2022,17,1,48.0,13.0,3.8,0,0,15.37
458,2022,3,1,176.0,12.0,11.0,0,0,55.8
459,2022,18,1,37.0,9.0,4.0,1,0,3.15
460,2022,3,1,102.0,12.0,8.0,0,0,23.9
461,2022,3,1,1989.0,36.0,45.0,0,0,213.0
462,2022,3,1,66.0,12.0,5.0,0,0,13.8
463,2022,5,1,250.0,25.0,10.0,0,0,0.2
464,2022,17,1,216.0,18.0,12.0,0,0,12.35
465,2022,17,1,103.0,19.0,5.0,0,0,4.65
466,2022,18,1,45.0,9.0,5.0,0,0,3.11
467,2022,1,1,258.0,16.2,16.0,0,0,88.0
468,2022,17,1,50.0,10.0,5.0,0,0,2.6
469,2022,20,1,5000.0,1000.0,5.0,0,0,140.0
470,2022,17,1,47.0,12.0,4.0,0,0,1.18
471,2022,274,1,96.0,19.2,5.0,0,0,6.0
472,2022,17,1,49.0,13.0,3.8,1,3,1.7
473,2022,5,1,250.0,14.0,19.0,0,0,19.5
474,2022,17,1,63.0,14.9,4.19,1,2,2.58
